tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:PTC,PTC,PREMIER TANK CORPORATION PUBLIC COMPANY LIMITED,บริษัท พรีเมียร์ แทงค์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,Resources,-
SET:QDC,QDC,QUANTUM D C PUBLIC COMPANY LIMITED,บริษัท ควอนตัม ดี ซี จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:QLT,QLT,QUALITECH PUBLIC COMPANY LIMITED,บริษัท ควอลลีเทค จำกัด (มหาชน),mai,Services,-
SET:QTCG,QTCG,QTCG PUBLIC COMPANY LIMITED,บริษัท คิวทีซีจี จำกัด (มหาชน),mai,Property & Construction,-
SET:READY,READY,READYPLANET PUBLIC COMPANY LIMITED,บริษัท เรดดี้แพลนเน็ต จำกัด (มหาชน),mai,Technology,-
SET:RP,RP,RAJA FERRY PORT PUBLIC COMPANY LIMITED,บริษัท ท่าเรือราชาเฟอร์รี่ จำกัด (มหาชน),mai,Services,-
SET:RWI,RWI,RAYONG WIRE INDUSTRIES PUBLIC COMPANY LIMITED,บริษัท ระยองไวร์ อินดัสตรีส์ จำกัด (มหาชน),mai,Industrial,-
SET:SAAM,SAAM,SAAM DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท เอสเอเอเอ็ม ดีเวลลอปเมนท์ จำกัด (มหาชน),mai,Resources,-
SET:SAF,SAF,S.A.F. SPECIAL STEEL PUBLIC COMPANY LIMITED,บริษัท เอส.เอ.เอฟ. สเปเชียล สตีล จำกัด (มหาชน),mai,Industrial,-
SET:SALEE,SALEE,SALEE INDUSTRY PUBLIC COMPANY LIMITED,บริษัท สาลี่อุตสาหกรรม จำกัด (มหาชน),mai,Industrial,-
SET:SANKO,SANKO,SANKO DIECASTING (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ซังโกะ ไดคาซติ้ง (ประเทศไทย) จำกัด (มหาชน),mai,Industrial,-
SET:SCL,SCL,S.C.L. Motor Part Public Company Limited,บริษัท เอส.ซี.แอล.มอเตอร์ พาร์ท จำกัด (มหาชน),mai,Industrial,-
SET:SECURE,SECURE,NFORCE SECURE PUBLIC COMPANY LIMITED,บริษัท เอ็นฟอร์ซ ซีเคียว จำกัด (มหาชน),mai,Technology,-
